sid,name_e,name_t
A01,Suvarnabhumi,สุวรรณภูมิ
A02,Lat Krabang,ลาดกระบัง
A03,Ban Thap Chang,บ้านทับช้าง
A04,Hua Mak,หัวหมาก
A05,Ramkhamhaeng,รามคำแหง
A06,Makkasan,มักกะสัน
A07,Ratchaprarop,ราชปรารภ
A08,Phaya Thai,พญาไท
