sid,sname,stype,lat,lon,city,Line,note
alink-06,สถานีบ้านทับช้าง,airlink,13.73284402,100.6914572,BKK,,
alink-07,สถานีลาดกระบัง,airlink,13.72773403,100.7486244,BKK,,
alink-08,สถานีสุวรรณภูมิ,airlink,13.69808701,100.7522355,BKK,,
pr-001,ท่าเรือขนส่งสินค้า,pier,13.70601243,100.5763187,BKK,ท่าเรือขนส่งสินค้า,
pr-002,ท่าเรือข้ามฟากท่าเทศบาลบางศรีเมือง,pier,13.84171594,100.4888678,BKK,เรือข้ามฟากเจ้าพระยา,
pr-003,ท่าเรือข้ามฟากวัดคฤหบดี,pier,13.77206876,100.4970678,BKK,เรือข้ามฟากเจ้าพระยา,
pr-004,ท่าเรือข้ามฟากท่าพระปิ่นเกล้า  (ฝั่งธนบุรี),pier,13.7631994,100.4908893,BKK,เรือข้ามฟากเจ้าพระยา,
pr-005,ท่าเรือข้ามฟากท่าวัดอรุณฯ,pier,13.74515937,100.488755,BKK,เรือข้ามฟากเจ้าพระยา,
pr-006,ท่าเรือข้ามฟากท่าวัดกัลยาณมิตร,pier,13.74111865,100.4918471,BKK,เรือข้ามฟากเจ้าพระยา,
pr-007,ท่าเรือข้ามฟากท่าวัดกุฎีจีน,pier,13.73961172,100.4938605,BKK,เรือข้ามฟากเจ้าพระยา,
pr-008,ท่าเรือข้ามฟากท่าดินแดง,pier,13.73684742,100.5036763,BKK,เรือข้ามฟากเจ้าพระยา,
pr-009,ท่าเรือข้ามฟากท่าวัดทองธรรมชาติ,pier,13.73501542,100.5080356,BKK,เรือข้ามฟากเจ้าพระยา,
pr-010,ท่าเรือข้ามฟากท่าสี่พระยา,pier,13.72837224,100.5134311,BKK,เรือข้ามฟากเจ้าพระยา,
pr-011,ท่าเรือข้ามฟากท่ารถไฟคลองสาน,pier,13.72918687,100.5113857,BKK,เรือข้ามฟากเจ้าพระยา,
pr-012,ท่าเรือข้ามฟากท่าวัดสุวรรณ,pier,13.72409346,100.5117039,BKK,เรือข้ามฟากเจ้าพระยา,
pr-013,ท่าเรือข้ามฟากท่าดูเม็กซ์,pier,13.72206068,100.5115256,BKK,เรือข้ามฟากเจ้าพระยา,
pr-014,ท่าเรือข้ามฟากท่าตากสิน,pier,13.72009331,100.5111842,BKK,เรือข้ามฟากเจ้าพระยา,
pr-015,ท่าเรือข้ามฟากท่าสาธุประดิษฐ์,pier,13.67741826,100.526973,BKK,เรือข้ามฟากเจ้าพระยา,
pr-016,ท่าเรือข้ามฟากท่าสรรพวุธ-บางนา,pier,13.67674541,100.5876747,BKK,เรือข้ามฟากเจ้าพระยา,
pr-017,ท่าเรือข้ามฟากท่าพระประแดง,pier,13.67024159,100.5274527,BKK,เรือข้ามฟากเจ้าพระยา,
pr-018,ท่าเรือข้ามฟากวัดบวรมงคล,pier,13.77438274,100.4979877,BKK,เรือข้ามฟากเจ้าพระยา,
pr-019,ท่าเรือข้ามฟากเทเวศร์,pier,13.77244207,100.5005634,BKK,เรือข้ามฟากเจ้าพระยา,
pr-020,ท่าเรือข้ามฟากราชวงศ์,pier,13.73853923,100.5041146,BKK,เรือข้ามฟากเจ้าพระยา,
pr-021,ท่าเรือข้ามฟากท่าช้าง,pier,13.75267846,100.4883353,BKK,เรือข้ามฟากเจ้าพระยา,
pr-022,ท่าเรือข้ามฟากวังหลัง,pier,13.75620795,100.4865521,BKK,เรือข้ามฟากเจ้าพระยา,
pr-023,ท่าเรือข้ามฟากท่าพระจันทร์เหนือ (ท่าวัดมหาธาตุ),pier,13.75664622,100.4889978,BKK,เรือข้ามฟากเจ้าพระยา,
pr-024,ท่าเรือข้ามฟากท่าวัดระฆัง,pier,13.75267265,100.4863479,BKK,เรือข้ามฟากเจ้าพระยา,
pr-025,ท่าเรือข้ามฟากท่าวัดเขมาภิรตาราม,pier,13.82254909,100.5022315,BKK,เรือข้ามฟากเจ้าพระยา,
pr-026,ท่าเรือข้ามฟากท่าพระปิ่นเกล้า (ฝั่งพระนคร),pier,13.76136078,100.4917478,BKK,เรือข้ามฟากเจ้าพระยา,
pr-027,ท่าเรือข้ามฟากท่าเรือสาทร,pier,13.71855697,100.5127919,BKK,เรือข้ามฟากเจ้าพระยา,
pr-028,ท่าเรือข้ามฟากท่าโอเรียนเต็ล,pier,13.72362504,100.513763,BKK,เรือข้ามฟากเจ้าพระยา,
pr-029,ท่าเรือข้ามฟากท่าอัษฎางค์ (ปากคลองตลาด),pier,13.74139067,100.4942209,BKK,เรือข้ามฟากเจ้าพระยา,
pr-030,ท่าเรือข้ามฟากท่าเตียน,pier,13.74656676,100.4898093,BKK,เรือข้ามฟากเจ้าพระยา,
pr-031,ท่าเรือข้ามฟากท่าเภตรา,pier,13.65723058,100.5373514,BKK,เรือข้ามฟากเจ้าพระยา,
pr-032,ท่าเรือข้ามฟากท่าพระประแดง,pier,13.65874494,100.5350021,BKK,เรือข้ามฟากเจ้าพระยา,
pr-033,ท่าเรือข้ามฟากท่าวัดบางน้ำผึ้งนอก,pier,13.68258169,100.5868929,BKK,เรือข้ามฟากเจ้าพระยา,
pr-034,ท่าเรือข้ามฟากท่าสวัสดี,pier,13.73645581,100.5090455,BKK,เรือข้ามฟากเจ้าพระยา,
pr-035,ท่าเรือข้ามฟากท่าพายัพ,pier,13.78745408,100.5082625,BKK,เรือข้ามฟากเจ้าพระยา,
pr-036,ท่าเรือข้ามฟากท่าพยอมทอง,pier,13.82478541,100.4985407,BKK,เรือข้ามฟากเจ้าพระยา,
pr-037,ท่าเรือข้ามฟากท่าวัดค้างคาว,pier,13.82029375,100.5004139,BKK,เรือข้ามฟากเจ้าพระยา,
pr-038,ท่าเรือข้ามฟากท่าเทศบาลปากเกร็ด,pier,13.91544908,100.4951211,BKK,เรือข้ามฟากเจ้าพระยา,
pr-039,ท่าเรือข้ามฟากท่าวัดเตย,pier,13.91817325,100.4954664,BKK,เรือข้ามฟากเจ้าพระยา,
pr-040,ท่าเรือข้ามฟากท่าวัชรีวงศ์,pier,13.9166293,100.4938459,BKK,เรือข้ามฟากเจ้าพระยา,
pr-041,ท่าเรือข้ามฟากท่าวัดอาวุธวิกสิตาราม,pier,13.78957202,100.5069222,BKK,เรือข้ามฟากเจ้าพระยา,
pr-042,ท่าเรือข้ามฟากท่าสวนพลู,pier,13.72240872,100.5136391,BKK,เรือข้ามฟากเจ้าพระยา,
pr-043,ท่าเรือข้ามฟากท่าเกียกกาย,pier,13.79873651,100.5171773,BKK,เรือข้ามฟากเจ้าพระยา,
pr-044,ท่าเรือข้ามฟากท่าวัดฉัตรแก้วจงกลณี,pier,13.80124392,100.5154806,BKK,เรือข้ามฟากเจ้าพระยา,
pr-045,ท่าเรือข้ามฟากท่ารถไฟ,pier,13.75927118,100.48743,BKK,เรือข้ามฟากเจ้าพระยา,
pr-046,ท่าเรือข้ามฟากท่าเทศบาลนนทบุรี,pier,13.84203363,100.4913011,BKK,เรือข้ามฟากเจ้าพระยา,
pr-047,ท่าเรือข้ามฟากท่าวิบูลย์ศรี,pier,13.59496366,100.5954893,BKK,เรือข้ามฟากเจ้าพระยา,
pr-048,ท่าเรือข้ามฟากท่าพระสมุทรเจดีย์,pier,13.59908399,100.5873269,BKK,เรือข้ามฟากเจ้าพระยา,
pr-049,ท่าเรือข้ามฟากท่าสี่ตา,pier,13.71160891,100.5091718,BKK,เรือข้ามฟากเจ้าพระยา,
pr-050,ท่าบางนา,pier,13.67716723,100.5879666,BKK,เรือข้ามฟากเจ้าพระยา,
pr-051,ท่าเรือเทเวศน์,pier,13.76591275,100.5072553,BKK,เรือคลองผดุงกรุงเกษม,
pr-052,ท่าเรือประชาธิปไตย,pier,13.7637984,100.5091926,BKK,เรือคลองผดุงกรุงเกษม,
pr-053,ท่าเรือราชดำเนินนอก,pier,13.76137371,100.5116114,BKK,เรือคลองผดุงกรุงเกษม,
pr-054,ท่าเรือนครสวรรค์,pier,13.75850306,100.5145808,BKK,เรือคลองผดุงกรุงเกษม,
pr-055,ท่าเรือแยกหลานหลวง,pier,13.75574128,100.5167771,BKK,เรือคลองผดุงกรุงเกษม,
pr-056,ท่าเรือหัวลำโพง,pier,13.73932082,100.5157,BKK,เรือคลองผดุงกรุงเกษม,
pr-057,ท่าเรือนพวงศ์,pier,13.74521926,100.5162858,BKK,เรือคลองผดุงกรุงเกษม,
pr-058,ท่าเรือยศเส,pier,13.74888142,100.5169362,BKK,เรือคลองผดุงกรุงเกษม,
pr-059,ท่าเรือกระทรวงพลังงาน,pier,13.75162494,100.5172294,BKK,เรือคลองผดุงกรุงเกษม,
pr-060,ท่าเรือพระโขนง-ตลาดเอี่ยม,pier,13.71121367,100.5973874,BKK,เรือคลองพระโขนง,
pr-061,ท่าเรือวัดมหาบุศย์,pier,13.71506608,100.6064332,BKK,เรือคลองพระโขนง,
pr-062,ท่าเรือสวนหลวง,pier,13.7156135,100.6106783,BKK,เรือคลองพระโขนง,
pr-063,ท่าเรือคอนโดมิเนียม,pier,13.71263337,100.6131402,BKK,เรือคลองพระโขนง,
pr-064,ท่าเรือชุมชนคลองเจ็ดขนัด,pier,13.71210639,100.6161513,BKK,เรือคลองพระโขนง,
pr-065,ท่าเรือวัดยาง,pier,13.71129902,100.6198864,BKK,เรือคลองพระโขนง,
pr-066,ท่าเรือวัดทองใน,pier,13.71212516,100.6214943,BKK,เรือคลองพระโขนง,
pr-067,ท่าเรือวัดตันไทรย์,pier,13.71329429,100.6269899,BKK,เรือคลองพระโขนง,
pr-068,ท่าเรือมัสยิดอัลกุ๊บรอ,pier,13.71514438,100.6284762,BKK,เรือคลองพระโขนง,
pr-069,ท่าเรือวัดปากบ่อ,pier,13.71491665,100.6312987,BKK,เรือคลองพระโขนง,
pr-070,ท่าเรือชุมชนคลองจวน,pier,13.71442181,100.6353551,BKK,เรือคลองพระโขนง,
pr-071,ท่าเรือมัสยิดอัลเอี๊ยะติชอม,pier,13.71506026,100.6395116,BKK,เรือคลองพระโขนง,
pr-072,ท่าเรือตลาดเอี่ยมสมบัติ,pier,13.71576627,100.6431191,BKK,เรือคลองพระโขนง,
pr-073,ท่าเรือประตูน้ำภาษีเจริญ,pier,13.72278373,100.4705561,BKK,เรือคลองภาษีเจริญ,
pr-074,ท่าเรืออู่รถเมล์ 9,pier,13.72134389,100.4661284,BKK,เรือคลองภาษีเจริญ,
pr-075,ท่าเรือประชารัฐ,pier,13.72034688,100.4635548,BKK,เรือคลองภาษีเจริญ,
pr-076,ท่าเรือสะพานตากสิน-เพชรเกษม,pier,13.71855179,100.4579846,BKK,เรือคลองภาษีเจริญ,
pr-077,ท่าเรือวัดอ่างแก้ว,pier,13.71706965,100.4542477,BKK,เรือคลองภาษีเจริญ,
pr-078,ท่าเรือเพชรเกษม 31,pier,13.71407772,100.4452399,BKK,เรือคลองภาษีเจริญ,
pr-079,ท่าเรือวัดรางบัว,pier,13.71159839,100.4386994,BKK,เรือคลองภาษีเจริญ,
pr-080,ท่าเรือเพชรเกษม 35,pier,13.70955219,100.4324313,BKK,เรือคลองภาษีเจริญ,
pr-081,ท่าเรือเพชรเกษม 37,pier,13.70910995,100.4311965,BKK,เรือคลองภาษีเจริญ,
pr-082,ท่าเรือเพชรเกษม 39,pier,13.70839584,100.4291731,BKK,เรือคลองภาษีเจริญ,
pr-083,ท่าเรือวัดนิมมานรดี,pier,13.70761309,100.4270173,BKK,เรือคลองภาษีเจริญ,
pr-084,ท่าเรือเกษตร-บางแค,pier,13.70533382,100.420453,BKK,เรือคลองภาษีเจริญ,
pr-085,ท่าเรือสะพานกาญจนาภิเษก,pier,13.70022171,100.4063485,BKK,เรือคลองภาษีเจริญ,
pr-086,ท่าเรือวัดม่วง,pier,13.69509907,100.3911989,BKK,เรือคลองภาษีเจริญ,
pr-087,ท่าเรือเพชรเกษม 69,pier,13.69156233,100.3809295,BKK,เรือคลองภาษีเจริญ,
pr-088,ท่าเรือเดอะมอลล์บางกะปิ,pier,13.76469109,100.6434169,BKK,เรือคลองแสนแสบ,
pr-089,ท่าเรือผ่านฟ้าลีลาศ,pier,13.75545705,100.5059501,BKK,เรือคลองแสนแสบ,
pr-090,ท่าเรือนานาเหนือ,pier,13.74843595,100.5539836,BKK,เรือคลองแสนแสบ,
pr-091,ท่าเรือสะพานมิตรสัมพันธ์ (อโศก),pier,13.74801829,100.5630372,BKK,เรือคลองแสนแสบ,
pr-092,ท่าเรือสะพานคลองตัน,pier,13.74200514,100.598277,BKK,เรือคลองแสนแสบ,
pr-093,ท่าเรือโบ๊เบ๊,pier,13.75360062,100.5158234,BKK,เรือคลองแสนแสบ,
pr-094,ท่าเรือสะพานเจริญผล,pier,13.74989043,100.5241231,BKK,เรือคลองแสนแสบ,
pr-095,ท่าเรือสะพานหัวช้าง (ราชเทวี),pier,13.74916441,100.5306526,BKK,เรือคลองแสนแสบ,
pr-096,ท่าเรือประตูน้ำ,pier,13.74919529,100.5415489,BKK,เรือคลองแสนแสบ,
pr-097,ท่าเรือสะพานชิดลม,pier,13.74871271,100.5446721,BKK,เรือคลองแสนแสบ,
pr-098,ท่าเรือสะพานวิทยุ,pier,13.74841092,100.548318,BKK,เรือคลองแสนแสบ,
pr-099,ท่าเรือนานาชาติ,pier,13.74826892,100.5591822,BKK,เรือคลองแสนแสบ,
pr-100,ท่าเรือ มศว. ประสานมิตร,pier,13.74729183,100.5657739,BKK,เรือคลองแสนแสบ,
pr-101,ท่าเรืออิตัลไทย,pier,13.74597828,100.573526,BKK,เรือคลองแสนแสบ,
pr-102,ท่าเรือวัดใหม่ช่องลม,pier,13.74574178,100.5743874,BKK,เรือคลองแสนแสบ,
pr-103,ท่าเรือสุเหร่าบ้านดอน,pier,13.7440837,100.5814037,BKK,เรือคลองแสนแสบ,
pr-104,ท่าเรือซอยทองหล่อ,pier,13.74316727,100.5860548,BKK,เรือคลองแสนแสบ,
pr-105,ท่าเรือชาญอิสระ,pier,13.74271639,100.588609,BKK,เรือคลองแสนแสบ,
pr-106,ท่าเรือชุมชนบ้านครัวเหนือ,pier,13.7416245,100.5944917,BKK,เรือคลองแสนแสบ,
pr-107,ท่าเรือเดอะมอลล์,pier,13.75469431,100.6082995,BKK,เรือคลองแสนแสบ,
pr-108,ท่าเรือรามคำแหง 29,pier,13.7577017,100.6116518,BKK,เรือคลองแสนแสบ,
pr-109,ท่าเรือวัดเทพลีลา,pier,13.75976717,100.6137542,BKK,เรือคลองแสนแสบ,
pr-110,ท่าเรือ ม.รามคำแหง,pier,13.76146664,100.6186559,BKK,เรือคลองแสนแสบ,
pr-111,ท่าเรือสะพานมิตรมหาดไทย,pier,13.76207766,100.6240764,BKK,เรือคลองแสนแสบ,
pr-112,ท่าเรือวัดกลาง,pier,13.76341909,100.6334805,BKK,เรือคลองแสนแสบ,
pr-113,ท่าเรือตลาดบางกะปิ,pier,13.76506942,100.6473948,BKK,เรือคลองแสนแสบ,
pr-114,ท่าเรือวัดศรีบุญเรือง,pier,13.76746825,100.6519086,BKK,เรือคลองแสนแสบ,
pr-115,ท่าเรือปากเกร็ด,pier,13.91514647,100.4947736,BKK,เรือด่วนเจ้าพระยา,
pr-116,ท่าเรือนนทบุรี,pier,13.84221344,100.4912288,BKK,เรือด่วนเจ้าพระยา,
pr-117,ท่าเรือวัดเขียน,pier,13.82786232,100.4967779,BKK,เรือด่วนเจ้าพระยา,
pr-118,ท่าเรือวัดเขมาภิรตาราม,pier,13.82203541,100.5024902,BKK,เรือด่วนเจ้าพระยา,
pr-119,ท่าเรือพิบูลสงคราม 1,pier,13.81780871,100.5057515,BKK,เรือด่วนเจ้าพระยา,
pr-120,ท่าเรือพระราม 7,pier,13.81280306,100.5134711,BKK,เรือด่วนเจ้าพระยา,
pr-121,ท่าเรือเกียกกาย,pier,13.79873651,100.5171773,BKK,เรือด่วนเจ้าพระยา,
pr-122,ท่าเรือสะพานกรุงธนบุรี (ซังฮี้),pier,13.78189555,100.5010679,BKK,เรือด่วนเจ้าพระยา,
pr-123,ท่าเรือเทเวศร์,pier,13.77208945,100.5003616,BKK,เรือด่วนเจ้าพระยา,
pr-124,ท่าเรือพระราม 8,pier,13.76759689,100.4978156,BKK,เรือด่วนเจ้าพระยา,
pr-125,ท่าเรือพระอาทิตย์,pier,13.7624568,100.4930839,BKK,เรือด่วนเจ้าพระยา,
pr-126,ท่าเรือรถไฟ,pier,13.75927118,100.48743,BKK,เรือด่วนเจ้าพระยา,
pr-127,ท่าเรือวังหลัง,pier,13.75662922,100.4864961,BKK,เรือด่วนเจ้าพระยา,
pr-128,ท่าเรือท่าช้าง,pier,13.75235567,100.4882278,BKK,เรือด่วนเจ้าพระยา,
pr-129,ท่าเรือท่าเตียน,pier,13.7467378,100.4897295,BKK,เรือด่วนเจ้าพระยา,
pr-130,ท่าเรือปากคลองตลาด,pier,13.74180415,100.4938214,BKK,เรือด่วนเจ้าพระยา,
pr-131,ท่าเรือสะพานพุทธ (ฝั่งพระนคร),pier,13.73983378,100.4981106,BKK,เรือด่วนเจ้าพระยา,
pr-132,ท่าเรือราชวงศ์,pier,13.73853191,100.5044567,BKK,เรือด่วนเจ้าพระยา,
pr-133,ท่าเรือสี่พระยา,pier,13.7287469,100.5133632,BKK,เรือด่วนเจ้าพระยา,
pr-134,ท่าเรือโอเรียนเต็ล,pier,13.72336684,100.5137467,BKK,เรือด่วนเจ้าพระยา,
pr-135,ท่าเรือสาทร,pier,13.71874479,100.51293,BKK,เรือด่วนเจ้าพระยา,
pr-136,ท่าเรือวัดเศวตฉัตร,pier,13.71275203,100.5069465,BKK,เรือด่วนเจ้าพระยา,
pr-137,ท่าเรือวัดวรจรรยาวาส,pier,13.70907932,100.5065733,BKK,เรือด่วนเจ้าพระยา,
pr-138,ท่าเรือวัดราชสิงขร,pier,13.70636979,100.5040403,BKK,เรือด่วนเจ้าพระยา,
pr-139,ท่าเรือราษฎร์บูรณะ (บิ๊กซี),pier,13.6849945,100.5001799,BKK,เรือด่วนเจ้าพระยา,
pr-140,ท่าเรือมหาราช,pier,13.75495197,100.4885822,BKK,เรือด่วนเจ้าพระยา,
pr-141,ท่าพระปิ่นเกล้า (ฝั่งธนบุรี),pier,13.76299721,100.4906573,BKK,เรือด่วนเจ้าพระยา,
pr-142,ท่าเรือวัดเทพนารี,pier,13.78402144,100.5021937,BKK,เรือด่วนเจ้าพระยา,
pr-143,ท่าเรือวัดเทพากร,pier,13.78566894,100.5033741,BKK,เรือด่วนเจ้าพระยา,
pr-144,ท่าเรือพายัพ,pier,13.78775467,100.5084925,BKK,เรือด่วนเจ้าพระยา,
pr-145,ท่าเรือกรมชลประทานสามเสน,pier,13.7887664,100.5096371,BKK,เรือด่วนเจ้าพระยา,
pr-146,ท่าเรือวัดม่วงแค,pier,13.726532,100.513642,BKK,เรือด่วนเจ้าพระยา,
pr-147,ท่าเรือเขียวไข่กา,pier,13.79113325,100.5119164,BKK,เรือด่วนเจ้าพระยา,
pr-148,ท่าเรือบางโพ,pier,13.80647472,100.5188098,BKK,เรือด่วนเจ้าพระยา,
pr-149,ท่าเรือวัดสร้อยทอง,pier,13.81210793,100.5175814,BKK,เรือด่วนเจ้าพระยา,
pr-150,ท่าเรือวัดตึก,pier,13.8244945,100.4986522,BKK,เรือด่วนเจ้าพระยา,
pr-151,ท่าสะพานพระราม 5,pier,13.83211055,100.4937456,BKK,เรือด่วนเจ้าพระยา,
pr-152,ท่าเรือพิบูลสงคราม 2,pier,13.83291636,100.4962747,BKK,เรือด่วนเจ้าพระยา,
pr-153,ท่าเรือกระทรวงพาณิชย์,pier,13.88455365,100.4865414,BKK,เรือด่วนเจ้าพระยา,
pr-154,ท่าเรือวัดกลางเกร็ด,pier,13.90641638,100.4917207,BKK,เรือด่วนเจ้าพระยา,
pr-155,ท่าเรือกรมเจ้าท่า,pier,13.73270494,100.5119939,BKK,เรือด่วนเจ้าพระยา,
pr-156,ท่าเรือราชินี,pier,13.74164242,100.4939715,BKK,เรือด่วนเจ้าพระยา,
pr-157,โครงการเรือเฟอร์รี่พัทยา-หัวหิน-บางปู,pier,13.50881105,100.6527615,BKK,,
,รร.วิจิตร,pier,,,,แสนแสบ,
,รามหนึ่ง,pier,,,,แสนแสบ,
,วัดน้อย,pier,,,,แสนแสบ,
,เดอะมอลล์บางกะปิ,pier,,,,แสนแสบ,
,ท่าเรือสถานีรถไฟหัวลำโพง,pier,,,,ผดุงกรุงเกษม,
,ท่าเรือตลาดเทวราช,pier,,,,ผดุงกรุงเกษม,
tr-001,สถานีรถไฟทุ่งสีทอง,rail,13.61260654,100.3687413,,,503624804PF74003
tr-002,สถานีรถไฟชุมทางคอกควาย,rail,13.58691028,100.3398237,,,503624402PF74072
tr-003,สถานีรถไฟคลองจาก,rail,13.55172457,100.2892186,,,503623898PF74153
tr-004,สถานีรถไฟบ้านแหลม,rail,13.54186686,100.2698288,,,503623696PF74060
tr-005,สถานีรถไฟมหาชัย,rail,13.5458616,100.2758209,,,503623896PF74098
tr-006,สถานีรถไฟบ้านบ่อ,rail,13.50166879,100.1807136,,,503632892PF74013
tr-007,สถานีรถไฟบางกระเจ้า,rail,13.50885026,100.19737,,,503632892PF74014
tr-008,สถานีรถไฟนครปฐม,rail,13.82438407,100.059258,,,503641428PF73047
tr-009,สถานีรถไฟบ้านนาโคก,rail,13.4773064,100.1032714,,,503541888PF74010
tr-010,สถานีรถไฟบ้านนาขวาง,rail,13.48616185,100.1211559,,,503542090PF74003
