lat,lon
100.574789,13.807
100.58424,13.80012
100.59436,13.79444
100.60712,13.78731
100.61371,13.78366
100.62369,13.77806
100.63036,13.77436
100.63983,13.769
100.64553,13.76167
100.6449,13.75075
100.6412499,13.736591
100.64175,13.72562
100.64375,13.71276
100.64658,13.70061
100.64709,13.69079
100.64606,13.67778
100.64436,13.6663
100.64231,13.65599
100.63685,13.64458
100.62941,13.63194
100.62646,13.62784
100.60866,13.63743
100.5965673,13.645083
