sid,name_e,name_t
W01,National Stadium,สนามกีฬาแห่งชาติ
CEN_SI,Siam,สยาม
S01,Ratchadamri,ราชดำริ
S02,Sala Daeng,ศาลาแดง
S03,Chong Nonsi,ช่องนนทรี
S04,Saint Louis,เซนต์หลุยส์
S05,Surasak,สุรศักดิ์
S06,Saphan Taksin,สะพานตากสิน
S07,Krung Thon Buri,กรุงธนบุรี
S08,Wongwian Yai,วงเวียนใหญ่
S09,Pho Nimit,โพธิ์นิมิตร
S10,Talat Phlu,ตลาดพลู
S11,Wutthakat,วุฒากาศ
S12,Bang Wa,บางหว้า
