sid1,sid2,dist_m
2443,E02,190.88
2444,E01,300.08
2444,E02,371.37
2445,E01,393.10
2446,A07,194.46
2447,A07,289.72
2450,A07,310.88
2451,A07,200.03
2452,E01,426.23
2454,E01,257.76
2454,E02,414.22
2455,E02,207.61
2459,BL25,243.31
2460,BL23,465.64
2473,PK28,433.67
2525,PK28,460.56
2544,YL17,184.76
2545,YL17,260.03
2591,YL17,296.40
2598,E11,422.31
2600,YL16,109.09
2601,YL16,214.97
2604,YL15,316.95
2605,YL15,142.87
2607,YL14,64.50
2609,E07,48.46
2610,E07,162.93
2612,YL13,126.65
2614,YL14,54.74
2615,YL14,349.17
2616,YL15,467.56
2617,YL15,24.81
2618,YL15,270.29
2620,YL16,444.54
2621,YL16,201.79
2622,YL16,227.71
2625,PP09,343.91
2626,PP10,67.13
2627,PP11,466.05
2628,PP11,164.16
2628,PK01,380.70
2629,PK01,17.79
2629,PK02,409.54
2630,BL12,209.03
2633,PK01,121.69
2633,PK02,421.65
2634,PP11,472.36
2634,PK01,90.27
2635,PP11,122.82
2635,PK01,424.29
2636,PP11,391.29
2637,PP10,92.84
2638,PP10,319.05
2639,PP09,381.28
2640,PP09,190.96
2641,BL23,213.50
2642,BL23,382.59
2644,E04,148.55
2644,BL22,67.10
2645,E04,463.59
2645,BL22,278.57
2647,BL21,312.99
2648,A06,309.37
2648,BL21,336.65
2649,A06,416.26
2650,BL20,118.13
2651,BL20,453.56
2652,BL19,193.69
2653,BL19,119.92
2655,BL18,369.10
2656,BL18,124.51
2658,BL17,280.63
2659,BL17,117.98
2660,BL17,120.77
2661,BL16,497.21
2662,BL16,181.46
2663,BL15,169.27
2663,YL01,159.58
2665,BL16,230.26
2667,BL17,289.81
2669,BL18,253.18
2671,BL19,201.55
2672,BL20,475.71
2673,BL20,46.73
2674,A06,483.75
2674,BL20,454.44
2675,BL21,349.05
2676,BL22,404.88
2677,E04,333.02
2677,BL22,135.46
2678,E04,130.08
2678,BL22,181.05
2681,BL23,204.74
2687,BL20,417.84
2688,BL20,367.08
2712,A08,276.20
2712,N02,215.78
2712,N01,404.86
2713,N03,197.87
2717,A08,330.19
2717,N02,284.46
2717,N01,334.15
2722,A07,371.49
2722,A08,444.72
2723,A07,162.35
2724,E01,410.06
2724,S01,285.09
2726,S01,280.35
2728,S02,476.41
2728,BL26,204.72
2730,BL26,267.71
2732,S01,251.60
2734,E01,416.58
2734,S01,308.06
2735,A07,454.54
