route_id,path_type,direction,polyline
MRT-P,main,go,"[(13.8923533, 100.4082562), (13.8809779, 100.4092184), (13.8780524, 100.4095352), (13.8776785, 100.4096527), (13.8773071, 100.4097857), (13.876953, 100.4099595), (13.8766098, 100.4101612), (13.8763119, 100.4103897), (13.8760166, 100.4106504), (13.8755005, 100.4112217), (13.8752328, 100.4117067), (13.8750766, 100.41202), (13.8749251, 100.4123397), (13.8747855, 100.4127361), (13.8746516, 100.4131883), (13.8745308, 100.4136427), (13.8744058, 100.414538), (13.8744131, 100.4155401), (13.8745089, 100.4169863), (13.87463, 100.41943), (13.8757993, 100.4337717), (13.876655, 100.4449102), (13.8768462, 100.4484251), (13.8768317, 100.4494722), (13.8767546, 100.4505537), (13.8764463, 100.4519849), (13.8760651, 100.4532981), (13.87467, 100.45621), (13.8724091, 100.4613683), (13.8713321, 100.4639025), (13.8708842, 100.4653144), (13.8705269, 100.4666401), (13.8697676, 100.4697969), (13.8696322, 100.4712539), (13.8696739, 100.4726765), (13.870313, 100.4803639), (13.8704822, 100.4822445), (13.8704447, 100.4841199), (13.870303, 100.4848838), (13.8701072, 100.4857399), (13.8694947, 100.4874201), (13.8659187, 100.4942475), (13.8646658, 100.4966447), (13.8635179, 100.4991467), (13.861694, 100.5044336), (13.8607659, 100.5088241), (13.8601476, 100.5132409), (13.8598212, 100.5155146), (13.8597784, 100.5158386), (13.8596305, 100.5161616), (13.8592107, 100.5167484), (13.8587035, 100.5172098), (13.8572597, 100.5179973), (13.8564087, 100.5183921), (13.8559858, 100.5185466), (13.8555545, 100.518671), (13.8552889, 100.5186925), (13.8550285, 100.5186839), (13.8547681, 100.5186678), (13.8545056, 100.5186045), (13.8541295, 100.5184908), (13.8538129, 100.5183277), (13.8486409, 100.5147283), (13.8456575, 100.512944), (13.8442845, 100.5120964), (13.843722, 100.5119591), (13.8431261, 100.5119612), (13.842674, 100.5120342), (13.8422323, 100.5121651), (13.841826, 100.5123925), (13.8414656, 100.5127058), (13.8396452, 100.5148416), (13.8298595, 100.5264979), (13.8252536, 100.5319598), (13.8247848, 100.5322795), (13.8242952, 100.5325692), (13.8237243, 100.5327516), (13.8231513, 100.5328074), (13.8202164, 100.5325217), (13.8061278, 100.530761)]"
MRT-P,main,back,"[(13.8061278, 100.530761), (13.8202164, 100.5325217), (13.8231513, 100.5328074), (13.8237243, 100.5327516), (13.8242952, 100.5325692), (13.8247848, 100.5322795), (13.8252536, 100.5319598), (13.8298595, 100.5264979), (13.8396452, 100.5148416), (13.8414656, 100.5127058), (13.841826, 100.5123925), (13.8422323, 100.5121651), (13.842674, 100.5120342), (13.8431261, 100.5119612), (13.843722, 100.5119591), (13.8442845, 100.5120964), (13.8456575, 100.512944), (13.8486409, 100.5147283), (13.8538129, 100.5183277), (13.8541295, 100.5184908), (13.8545056, 100.5186045), (13.8547681, 100.5186678), (13.8550285, 100.5186839), (13.8552889, 100.5186925), (13.8555545, 100.518671), (13.8559858, 100.5185466), (13.8564087, 100.5183921), (13.8572597, 100.5179973), (13.8587035, 100.5172098), (13.8592107, 100.5167484), (13.8596305, 100.5161616), (13.8597784, 100.5158386), (13.8598212, 100.5155146), (13.8601476, 100.5132409), (13.8607659, 100.5088241), (13.861694, 100.5044336), (13.8635179, 100.4991467), (13.8646658, 100.4966447), (13.8659187, 100.4942475), (13.8694947, 100.4874201), (13.8701072, 100.4857399), (13.870303, 100.4848838), (13.8704447, 100.4841199), (13.8704822, 100.4822445), (13.870313, 100.4803639), (13.8696739, 100.4726765), (13.8696322, 100.4712539), (13.8697676, 100.4697969), (13.8705269, 100.4666401), (13.8708842, 100.4653144), (13.8713321, 100.4639025), (13.8724091, 100.4613683), (13.87467, 100.45621), (13.8760651, 100.4532981), (13.8764463, 100.4519849), (13.8767546, 100.4505537), (13.8768317, 100.4494722), (13.8768462, 100.4484251), (13.876655, 100.4449102), (13.8757993, 100.4337717), (13.87463, 100.41943), (13.8745089, 100.4169863), (13.8744131, 100.4155401), (13.8744058, 100.414538), (13.8745308, 100.4136427), (13.8746516, 100.4131883), (13.8747855, 100.4127361), (13.8749251, 100.4123397), (13.8750766, 100.41202), (13.8752328, 100.4117067), (13.8755005, 100.4112217), (13.8760166, 100.4106504), (13.8763119, 100.4103897), (13.8766098, 100.4101612), (13.876953, 100.4099595), (13.8773071, 100.4097857), (13.8776785, 100.4096527), (13.8780524, 100.4095352), (13.8809779, 100.4092184), (13.8923533, 100.4082562)]"
