train_num,route_id,direction,sid1,sname1,sid2,sname2,ts1,ts2,mins,hrs,day_of_week
59,MRT-Y,go,YL22,Thipphawan,YL23,Samrong,16:06:00,16:09:00,3.0,16,Sunday
60,MRT-Y,go,YL01,Lat Phrao,YL02,Phawana,15:20:00,15:23:00,3.0,15,Sunday
60,MRT-Y,go,YL02,Phawana,YL03,Chok Chai 4,15:23:00,15:26:00,3.0,15,Sunday
60,MRT-Y,go,YL03,Chok Chai 4,YL04,Lat Phrao 71,15:26:00,15:29:00,3.0,15,Sunday
60,MRT-Y,go,YL04,Lat Phrao 71,YL05,Lat Phrao 83,15:29:00,15:32:00,3.0,15,Sunday
60,MRT-Y,go,YL05,Lat Phrao 83,YL06,Mahat Thai,15:32:00,15:35:00,3.0,15,Sunday
60,MRT-Y,go,YL06,Mahat Thai,YL07,Lat Phrao 101,15:35:00,15:38:00,3.0,15,Sunday
60,MRT-Y,go,YL07,Lat Phrao 101,YL08,Bang Kapi,15:38:00,15:41:00,3.0,15,Sunday
60,MRT-Y,go,YL08,Bang Kapi,YL09,Yaek Lam Sali,15:41:00,15:43:00,2.0,15,Sunday
60,MRT-Y,go,YL09,Yaek Lam Sali,YL10,Si Kritha,15:43:00,15:46:00,3.0,15,Sunday
60,MRT-Y,go,YL10,Si Kritha,YL11,Hua Mak,15:46:00,15:49:00,3.0,15,Sunday
60,MRT-Y,go,YL11,Hua Mak,YL12,Kalantan,15:49:00,15:51:00,2.0,15,Sunday
60,MRT-Y,go,YL12,Kalantan,YL13,Si Nut,15:51:00,15:53:00,2.0,15,Sunday
60,MRT-Y,go,YL13,Si Nut,YL14,Srinagarindra 38,15:53:00,15:55:00,2.0,15,Sunday
60,MRT-Y,go,YL14,Srinagarindra 38,YL15,Suan Luang Rama IX,15:55:00,15:58:00,3.0,15,Sunday
60,MRT-Y,go,YL15,Suan Luang Rama IX,YL16,Si Udom,15:58:00,16:01:00,3.0,15,Sunday
60,MRT-Y,go,YL16,Si Udom,YL17,Si Iam,16:01:00,16:03:00,2.0,16,Sunday
60,MRT-Y,go,YL17,Si Iam,YL18,Si La Salle,16:03:00,16:07:00,4.0,16,Sunday
60,MRT-Y,go,YL18,Si La Salle,YL19,Si Bearing,16:07:00,16:09:00,2.0,16,Sunday
60,MRT-Y,go,YL19,Si Bearing,YL20,Si Dan,16:09:00,16:11:00,2.0,16,Sunday
60,MRT-Y,go,YL20,Si Dan,YL21,Si Thepha,16:11:00,16:13:00,2.0,16,Sunday
60,MRT-Y,go,YL21,Si Thepha,YL22,Thipphawan,16:13:00,16:16:00,3.0,16,Sunday
60,MRT-Y,go,YL22,Thipphawan,YL23,Samrong,16:16:00,16:19:00,3.0,16,Sunday
61,MRT-Y,go,YL01,Lat Phrao,YL02,Phawana,15:30:00,15:33:00,3.0,15,Sunday
61,MRT-Y,go,YL02,Phawana,YL03,Chok Chai 4,15:33:00,15:36:00,3.0,15,Sunday
61,MRT-Y,go,YL03,Chok Chai 4,YL04,Lat Phrao 71,15:36:00,15:39:00,3.0,15,Sunday
61,MRT-Y,go,YL04,Lat Phrao 71,YL05,Lat Phrao 83,15:39:00,15:42:00,3.0,15,Sunday
61,MRT-Y,go,YL05,Lat Phrao 83,YL06,Mahat Thai,15:42:00,15:45:00,3.0,15,Sunday
61,MRT-Y,go,YL06,Mahat Thai,YL07,Lat Phrao 101,15:45:00,15:48:00,3.0,15,Sunday
61,MRT-Y,go,YL07,Lat Phrao 101,YL08,Bang Kapi,15:48:00,15:51:00,3.0,15,Sunday
61,MRT-Y,go,YL08,Bang Kapi,YL09,Yaek Lam Sali,15:51:00,15:53:00,2.0,15,Sunday
61,MRT-Y,go,YL09,Yaek Lam Sali,YL10,Si Kritha,15:53:00,15:56:00,3.0,15,Sunday
61,MRT-Y,go,YL10,Si Kritha,YL11,Hua Mak,15:56:00,15:59:00,3.0,15,Sunday
61,MRT-Y,go,YL11,Hua Mak,YL12,Kalantan,15:59:00,16:01:00,2.0,15,Sunday
61,MRT-Y,go,YL12,Kalantan,YL13,Si Nut,16:01:00,16:03:00,2.0,16,Sunday
61,MRT-Y,go,YL13,Si Nut,YL14,Srinagarindra 38,16:03:00,16:05:00,2.0,16,Sunday
61,MRT-Y,go,YL14,Srinagarindra 38,YL15,Suan Luang Rama IX,16:05:00,16:08:00,3.0,16,Sunday
61,MRT-Y,go,YL15,Suan Luang Rama IX,YL16,Si Udom,16:08:00,16:11:00,3.0,16,Sunday
61,MRT-Y,go,YL16,Si Udom,YL17,Si Iam,16:11:00,16:13:00,2.0,16,Sunday
61,MRT-Y,go,YL17,Si Iam,YL18,Si La Salle,16:13:00,16:17:00,4.0,16,Sunday
61,MRT-Y,go,YL18,Si La Salle,YL19,Si Bearing,16:17:00,16:19:00,2.0,16,Sunday
61,MRT-Y,go,YL19,Si Bearing,YL20,Si Dan,16:19:00,16:21:00,2.0,16,Sunday
61,MRT-Y,go,YL20,Si Dan,YL21,Si Thepha,16:21:00,16:23:00,2.0,16,Sunday
61,MRT-Y,go,YL21,Si Thepha,YL22,Thipphawan,16:23:00,16:26:00,3.0,16,Sunday
61,MRT-Y,go,YL22,Thipphawan,YL23,Samrong,16:26:00,16:29:00,3.0,16,Sunday
62,MRT-Y,go,YL01,Lat Phrao,YL02,Phawana,15:40:00,15:43:00,3.0,15,Sunday
62,MRT-Y,go,YL02,Phawana,YL03,Chok Chai 4,15:43:00,15:46:00,3.0,15,Sunday
62,MRT-Y,go,YL03,Chok Chai 4,YL04,Lat Phrao 71,15:46:00,15:49:00,3.0,15,Sunday
62,MRT-Y,go,YL04,Lat Phrao 71,YL05,Lat Phrao 83,15:49:00,15:52:00,3.0,15,Sunday
62,MRT-Y,go,YL05,Lat Phrao 83,YL06,Mahat Thai,15:52:00,15:55:00,3.0,15,Sunday
62,MRT-Y,go,YL06,Mahat Thai,YL07,Lat Phrao 101,15:55:00,15:58:00,3.0,15,Sunday
62,MRT-Y,go,YL07,Lat Phrao 101,YL08,Bang Kapi,15:58:00,16:01:00,3.0,15,Sunday
62,MRT-Y,go,YL08,Bang Kapi,YL09,Yaek Lam Sali,16:01:00,16:03:00,2.0,16,Sunday
62,MRT-Y,go,YL09,Yaek Lam Sali,YL10,Si Kritha,16:03:00,16:06:00,3.0,16,Sunday
62,MRT-Y,go,YL10,Si Kritha,YL11,Hua Mak,16:06:00,16:09:00,3.0,16,Sunday
62,MRT-Y,go,YL11,Hua Mak,YL12,Kalantan,16:09:00,16:11:00,2.0,16,Sunday
62,MRT-Y,go,YL12,Kalantan,YL13,Si Nut,16:11:00,16:13:00,2.0,16,Sunday
62,MRT-Y,go,YL13,Si Nut,YL14,Srinagarindra 38,16:13:00,16:15:00,2.0,16,Sunday
62,MRT-Y,go,YL14,Srinagarindra 38,YL15,Suan Luang Rama IX,16:15:00,16:18:00,3.0,16,Sunday
62,MRT-Y,go,YL15,Suan Luang Rama IX,YL16,Si Udom,16:18:00,16:21:00,3.0,16,Sunday
62,MRT-Y,go,YL16,Si Udom,YL17,Si Iam,16:21:00,16:23:00,2.0,16,Sunday
62,MRT-Y,go,YL17,Si Iam,YL18,Si La Salle,16:23:00,16:27:00,4.0,16,Sunday
62,MRT-Y,go,YL18,Si La Salle,YL19,Si Bearing,16:27:00,16:29:00,2.0,16,Sunday
62,MRT-Y,go,YL19,Si Bearing,YL20,Si Dan,16:29:00,16:31:00,2.0,16,Sunday
62,MRT-Y,go,YL20,Si Dan,YL21,Si Thepha,16:31:00,16:33:00,2.0,16,Sunday
62,MRT-Y,go,YL21,Si Thepha,YL22,Thipphawan,16:33:00,16:36:00,3.0,16,Sunday
62,MRT-Y,go,YL22,Thipphawan,YL23,Samrong,16:36:00,16:39:00,3.0,16,Sunday
63,MRT-Y,go,YL01,Lat Phrao,YL02,Phawana,15:50:00,15:53:00,3.0,15,Sunday
63,MRT-Y,go,YL02,Phawana,YL03,Chok Chai 4,15:53:00,15:56:00,3.0,15,Sunday
63,MRT-Y,go,YL03,Chok Chai 4,YL04,Lat Phrao 71,15:56:00,15:59:00,3.0,15,Sunday
63,MRT-Y,go,YL04,Lat Phrao 71,YL05,Lat Phrao 83,15:59:00,16:02:00,3.0,15,Sunday
63,MRT-Y,go,YL05,Lat Phrao 83,YL06,Mahat Thai,16:02:00,16:05:00,3.0,16,Sunday
63,MRT-Y,go,YL06,Mahat Thai,YL07,Lat Phrao 101,16:05:00,16:08:00,3.0,16,Sunday
63,MRT-Y,go,YL07,Lat Phrao 101,YL08,Bang Kapi,16:08:00,16:11:00,3.0,16,Sunday
63,MRT-Y,go,YL08,Bang Kapi,YL09,Yaek Lam Sali,16:11:00,16:13:00,2.0,16,Sunday
63,MRT-Y,go,YL09,Yaek Lam Sali,YL10,Si Kritha,16:13:00,16:16:00,3.0,16,Sunday
63,MRT-Y,go,YL10,Si Kritha,YL11,Hua Mak,16:16:00,16:19:00,3.0,16,Sunday
63,MRT-Y,go,YL11,Hua Mak,YL12,Kalantan,16:19:00,16:21:00,2.0,16,Sunday
63,MRT-Y,go,YL12,Kalantan,YL13,Si Nut,16:21:00,16:23:00,2.0,16,Sunday
63,MRT-Y,go,YL13,Si Nut,YL14,Srinagarindra 38,16:23:00,16:25:00,2.0,16,Sunday
63,MRT-Y,go,YL14,Srinagarindra 38,YL15,Suan Luang Rama IX,16:25:00,16:28:00,3.0,16,Sunday
63,MRT-Y,go,YL15,Suan Luang Rama IX,YL16,Si Udom,16:28:00,16:31:00,3.0,16,Sunday
63,MRT-Y,go,YL16,Si Udom,YL17,Si Iam,16:31:00,16:33:00,2.0,16,Sunday
63,MRT-Y,go,YL17,Si Iam,YL18,Si La Salle,16:33:00,16:37:00,4.0,16,Sunday
63,MRT-Y,go,YL18,Si La Salle,YL19,Si Bearing,16:37:00,16:39:00,2.0,16,Sunday
63,MRT-Y,go,YL19,Si Bearing,YL20,Si Dan,16:39:00,16:41:00,2.0,16,Sunday
63,MRT-Y,go,YL20,Si Dan,YL21,Si Thepha,16:41:00,16:43:00,2.0,16,Sunday
63,MRT-Y,go,YL21,Si Thepha,YL22,Thipphawan,16:43:00,16:46:00,3.0,16,Sunday
63,MRT-Y,go,YL22,Thipphawan,YL23,Samrong,16:46:00,16:49:00,3.0,16,Sunday
64,MRT-Y,go,YL01,Lat Phrao,YL02,Phawana,16:00:00,16:03:00,3.0,16,Sunday
